width,height,ratio,area,class
tensor(463.7500),tensor(560.),tensor(0.8281),tensor(259700.),4
tensor(428.7500),tensor(223.7500),tensor(1.9162),tensor(95932.8125),2
tensor(116.2500),tensor(143.7500),tensor(0.8087),tensor(16710.9375),2
tensor(30.),tensor(55.),tensor(0.5455),tensor(1650.),0
tensor(43.7500),tensor(100.),tensor(0.4375),tensor(4375.),3
tensor(52.5000),tensor(406.2500),tensor(0.1292),tensor(21328.1250),0
tensor(70.),tensor(175.),tensor(0.4000),tensor(12250.),0
tensor(80.),tensor(391.2500),tensor(0.2045),tensor(31300.),0
tensor(70.),tensor(200.),tensor(0.3500),tensor(14000.),0
tensor(98.7500),tensor(41.2500),tensor(2.3939),tensor(4073.4375),0
tensor(82.5000),tensor(117.5000),tensor(0.7021),tensor(9693.7500),0
tensor(50.),tensor(102.5000),tensor(0.4878),tensor(5125.),0
tensor(27.5000),tensor(20.),tensor(1.3750),tensor(550.),3
tensor(637.5000),tensor(352.5000),tensor(1.8085),tensor(224718.7500),4
tensor(171.2500),tensor(20.),tensor(8.5625),tensor(3425.),1
tensor(158.7500),tensor(53.7500),tensor(2.9535),tensor(8532.8125),1
tensor(36.2500),tensor(61.2500),tensor(0.5918),tensor(2220.3125),0
tensor(12.5000),tensor(25.),tensor(0.5000),tensor(312.5000),0
tensor(317.5000),tensor(502.5000),tensor(0.6318),tensor(159543.7500),4
tensor(20.),tensor(30.),tensor(0.6667),tensor(600.),3
tensor(307.5000),tensor(230.),tensor(1.3370),tensor(70725.),2
tensor(147.5000),tensor(88.7500),tensor(1.6620),tensor(13090.6250),2
tensor(46.2500),tensor(108.7500),tensor(0.4253),tensor(5029.6875),0
tensor(67.5000),tensor(397.5000),tensor(0.1698),tensor(26831.2500),0
tensor(318.7500),tensor(101.2500),tensor(3.1481),tensor(32273.4375),2
tensor(41.2500),tensor(128.7500),tensor(0.3204),tensor(5310.9375),0
tensor(61.2500),tensor(208.7500),tensor(0.2934),tensor(12785.9375),0
tensor(57.5000),tensor(283.7500),tensor(0.2026),tensor(16315.6250),0
tensor(97.5000),tensor(211.2500),tensor(0.4615),tensor(20596.8750),0
tensor(83.7500),tensor(123.7500),tensor(0.6768),tensor(10364.0625),0
tensor(42.5000),tensor(205.),tensor(0.2073),tensor(8712.5000),0
tensor(107.5000),tensor(192.5000),tensor(0.5584),tensor(20693.7500),0
tensor(102.5000),tensor(43.7500),tensor(2.3429),tensor(4484.3750),0
tensor(186.2500),tensor(370.),tensor(0.5034),tensor(68912.5000),0
tensor(186.2500),tensor(587.5000),tensor(0.3170),tensor(109421.8750),0
tensor(635.),tensor(137.5000),tensor(4.6182),tensor(87312.5000),1
tensor(68.7500),tensor(266.2500),tensor(0.2582),tensor(18304.6875),0
tensor(211.2500),tensor(62.5000),tensor(3.3800),tensor(13203.1250),2
tensor(293.7500),tensor(76.2500),tensor(3.8525),tensor(22398.4375),1
tensor(137.5000),tensor(77.5000),tensor(1.7742),tensor(10656.2500),2
tensor(556.2500),tensor(81.2500),tensor(6.8462),tensor(45195.3125),1
tensor(638.7500),tensor(442.5000),tensor(1.4435),tensor(282646.8750),4
tensor(638.7500),tensor(63.7500),tensor(10.0196),tensor(40720.3125),1
tensor(95.),tensor(20.),tensor(4.7500),tensor(1900.),1
tensor(122.5000),tensor(526.2500),tensor(0.2328),tensor(64465.6250),0
tensor(125.),tensor(18.7500),tensor(6.6667),tensor(2343.7500),1
tensor(70.),tensor(535.),tensor(0.1308),tensor(37450.),0
tensor(376.2500),tensor(30.),tensor(12.5417),tensor(11287.5000),1
tensor(11.2500),tensor(26.2500),tensor(0.4286),tensor(295.3125),0
tensor(637.5000),tensor(66.2500),tensor(9.6226),tensor(42234.3750),1
tensor(187.5000),tensor(367.5000),tensor(0.5102),tensor(68906.2500),0
tensor(638.7500),tensor(111.2500),tensor(5.7416),tensor(71060.9375),1
tensor(20.),tensor(86.2500),tensor(0.2319),tensor(1725.),0
tensor(155.),tensor(88.7500),tensor(1.7465),tensor(13756.2500),4
tensor(91.2500),tensor(43.7500),tensor(2.0857),tensor(3992.1875),4
tensor(361.2500),tensor(248.7500),tensor(1.4523),tensor(89860.9375),4
tensor(192.5000),tensor(47.5000),tensor(4.0526),tensor(9143.7500),1
tensor(41.2500),tensor(638.7500),tensor(0.0646),tensor(26348.4375),0
tensor(98.7500),tensor(28.7500),tensor(3.4348),tensor(2839.0625),1
tensor(115.),tensor(61.2500),tensor(1.8776),tensor(7043.7500),1
tensor(41.2500),tensor(601.2500),tensor(0.0686),tensor(24801.5625),0
tensor(83.7500),tensor(61.2500),tensor(1.3673),tensor(5129.6875),0
tensor(152.5000),tensor(50.),tensor(3.0500),tensor(7625.),0
tensor(45.),tensor(303.7500),tensor(0.1481),tensor(13668.7500),0
tensor(306.2500),tensor(101.2500),tensor(3.0247),tensor(31007.8125),1
tensor(12.5000),tensor(80.),tensor(0.1562),tensor(1000.),0
tensor(133.7500),tensor(96.2500),tensor(1.3896),tensor(12873.4375),0
tensor(558.7500),tensor(105.),tensor(5.3214),tensor(58668.7500),1
tensor(83.7500),tensor(160.),tensor(0.5234),tensor(13400.),0
tensor(83.7500),tensor(135.),tensor(0.6204),tensor(11306.2500),0
tensor(590.),tensor(61.2500),tensor(9.6327),tensor(36137.5000),1
tensor(273.7500),tensor(18.7500),tensor(14.6000),tensor(5132.8125),1
tensor(93.7500),tensor(51.2500),tensor(1.8293),tensor(4804.6875),0
tensor(42.5000),tensor(230.),tensor(0.1848),tensor(9775.),0
tensor(461.2500),tensor(407.5000),tensor(1.1319),tensor(187959.3750),0
tensor(178.7500),tensor(17.5000),tensor(10.2143),tensor(3128.1250),1
tensor(638.7500),tensor(76.2500),tensor(8.3770),tensor(48704.6875),1
tensor(111.2500),tensor(282.5000),tensor(0.3938),tensor(31428.1250),3
tensor(215.),tensor(405.),tensor(0.5309),tensor(87075.),0
tensor(150.),tensor(358.7500),tensor(0.4181),tensor(53812.5000),0
tensor(131.2500),tensor(185.),tensor(0.7095),tensor(24281.2500),0
tensor(177.5000),tensor(113.7500),tensor(1.5604),tensor(20190.6250),0
tensor(412.5000),tensor(126.2500),tensor(3.2673),tensor(52078.1250),1
tensor(88.7500),tensor(87.5000),tensor(1.0143),tensor(7765.6250),0
tensor(383.7500),tensor(82.5000),tensor(4.6515),tensor(31659.3750),1
tensor(83.7500),tensor(60.),tensor(1.3958),tensor(5025.),0
tensor(33.7500),tensor(345.),tensor(0.0978),tensor(11643.7500),0
tensor(278.7500),tensor(55.),tensor(5.0682),tensor(15331.2500),1
tensor(201.2500),tensor(51.2500),tensor(3.9268),tensor(10314.0625),1
tensor(638.7500),tensor(471.2500),tensor(1.3554),tensor(301010.9375),4
tensor(550.),tensor(61.2500),tensor(8.9796),tensor(33687.5000),1
tensor(287.5000),tensor(58.7500),tensor(4.8936),tensor(16890.6250),1
tensor(638.7500),tensor(123.7500),tensor(5.1616),tensor(79045.3125),1
tensor(638.7500),tensor(126.2500),tensor(5.0594),tensor(80642.1875),1
tensor(103.7500),tensor(598.7500),tensor(0.1733),tensor(62120.3125),0
tensor(38.7500),tensor(51.2500),tensor(0.7561),tensor(1985.9375),2
tensor(73.7500),tensor(150.),tensor(0.4917),tensor(11062.5000),0
tensor(102.5000),tensor(338.7500),tensor(0.3026),tensor(34721.8750),0
tensor(71.2500),tensor(240.),tensor(0.2969),tensor(17100.),3
tensor(133.7500),tensor(78.7500),tensor(1.6984),tensor(10532.8125),1
tensor(180.),tensor(62.5000),tensor(2.8800),tensor(11250.),1
tensor(36.2500),tensor(150.),tensor(0.2417),tensor(5437.5000),0
tensor(76.2500),tensor(408.7500),tensor(0.1865),tensor(31167.1875),0
tensor(263.7500),tensor(33.7500),tensor(7.8148),tensor(8901.5625),1
tensor(273.7500),tensor(612.5000),tensor(0.4469),tensor(167671.8750),0
tensor(35.),tensor(65.),tensor(0.5385),tensor(2275.),3
tensor(183.7500),tensor(317.5000),tensor(0.5787),tensor(58340.6250),4
tensor(95.),tensor(120.),tensor(0.7917),tensor(11400.),4
tensor(278.7500),tensor(233.7500),tensor(1.1925),tensor(65157.8125),2
tensor(373.7500),tensor(68.7500),tensor(5.4364),tensor(25695.3125),1
tensor(471.2500),tensor(47.5000),tensor(9.9211),tensor(22384.3750),1
tensor(27.5000),tensor(402.5000),tensor(0.0683),tensor(11068.7500),0
tensor(55.),tensor(638.7500),tensor(0.0861),tensor(35131.2500),0
tensor(87.5000),tensor(128.7500),tensor(0.6796),tensor(11265.6250),0
tensor(61.2500),tensor(221.2500),tensor(0.2768),tensor(13551.5625),0
tensor(196.2500),tensor(347.5000),tensor(0.5647),tensor(68196.8750),0
tensor(280.),tensor(37.5000),tensor(7.4667),tensor(10500.),1
tensor(63.7500),tensor(638.7500),tensor(0.0998),tensor(40720.3125),0
tensor(57.5000),tensor(226.2500),tensor(0.2541),tensor(13009.3750),0
tensor(130.),tensor(25.),tensor(5.2000),tensor(3250.),1
tensor(140.),tensor(11.2500),tensor(12.4444),tensor(1575.),1
tensor(43.7500),tensor(346.2500),tensor(0.1264),tensor(15148.4375),0
tensor(66.2500),tensor(51.2500),tensor(1.2927),tensor(3395.3125),0
tensor(25.),tensor(377.5000),tensor(0.0662),tensor(9437.5000),0
tensor(356.2500),tensor(55.),tensor(6.4773),tensor(19593.7500),2
tensor(287.5000),tensor(71.2500),tensor(4.0351),tensor(20484.3750),1
tensor(583.7500),tensor(60.),tensor(9.7292),tensor(35025.),1
tensor(190.),tensor(31.2500),tensor(6.0800),tensor(5937.5000),1
tensor(62.5000),tensor(395.),tensor(0.1582),tensor(24687.5000),0
tensor(186.2500),tensor(218.7500),tensor(0.8514),tensor(40742.1875),2
tensor(541.2500),tensor(367.5000),tensor(1.4728),tensor(198909.3750),4
tensor(18.7500),tensor(20.),tensor(0.9375),tensor(375.),3
tensor(97.5000),tensor(73.7500),tensor(1.3220),tensor(7190.6250),2
tensor(47.5000),tensor(252.5000),tensor(0.1881),tensor(11993.7500),0
tensor(147.5000),tensor(68.7500),tensor(2.1455),tensor(10140.6250),2
tensor(60.),tensor(636.2500),tensor(0.0943),tensor(38175.),0
tensor(220.),tensor(245.),tensor(0.8980),tensor(53900.),2
tensor(70.),tensor(582.5000),tensor(0.1202),tensor(40775.),0
tensor(53.7500),tensor(48.7500),tensor(1.1026),tensor(2620.3125),0
tensor(141.2500),tensor(423.7500),tensor(0.3333),tensor(59854.6875),0
tensor(110.),tensor(345.),tensor(0.3188),tensor(37950.),0
tensor(485.),tensor(485.),tensor(1.),tensor(235225.),2
tensor(413.7500),tensor(256.2500),tensor(1.6146),tensor(106023.4375),4
tensor(141.2500),tensor(96.2500),tensor(1.4675),tensor(13595.3125),2
tensor(638.7500),tensor(476.2500),tensor(1.3412),tensor(304204.6875),4
tensor(167.5000),tensor(553.7500),tensor(0.3025),tensor(92753.1250),0
tensor(253.7500),tensor(613.7500),tensor(0.4134),tensor(155739.0625),0
tensor(638.7500),tensor(488.7500),tensor(1.3069),tensor(312189.0625),4
tensor(533.7500),tensor(401.2500),tensor(1.3302),tensor(214167.1875),2
tensor(235.),tensor(96.2500),tensor(2.4416),tensor(22618.7500),2
tensor(637.5000),tensor(157.5000),tensor(4.0476),tensor(100406.2500),0
tensor(38.7500),tensor(122.5000),tensor(0.3163),tensor(4746.8750),0
tensor(31.2500),tensor(128.7500),tensor(0.2427),tensor(4023.4375),0
tensor(326.2500),tensor(63.7500),tensor(5.1176),tensor(20798.4375),1
tensor(512.5000),tensor(66.2500),tensor(7.7358),tensor(33953.1250),1
tensor(637.5000),tensor(415.),tensor(1.5361),tensor(264562.5000),4
tensor(28.7500),tensor(21.2500),tensor(1.3529),tensor(610.9375),3
tensor(458.7500),tensor(360.),tensor(1.2743),tensor(165150.),2
tensor(260.),tensor(241.2500),tensor(1.0777),tensor(62725.),0
